,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
574,0.0008653421383426487,0.6101658488711186,0.1847282618519074,0.016988462308261926,0.006620729964546978,0.07583762337672449,0.36843739374500295,0.6682150235766335,0.06439069750327842,0.026774321266090667,0.0024158769371396016,0.019033569883926862
575,0.0011003469827575293,0.7455820752084463,0.2615251177468098,0.020636555584120846,0.009105093303270983,0.08397640979821892,0.03292252120427239,0.6018292534610038,0.055611061718746184,0.032421737309295935,0.003911339559269459,0.02661884787520507
576,0.0006814431126002246,0.5181370966749214,0.14448364797681307,0.018831299178274304,0.004309266366617344,0.0684058775880301,0.2135662605717848,0.8103494876111826,0.05098453993951667,0.023018852529796928,0.0018552650495528178,0.013994135863735973
577,0.001167339690448687,0.588356466223402,0.1114794485649874,0.04090820248146523,0.006104525352330904,0.09979453075624169,0.17824297645869497,0.7677249312904938,0.08628922873038855,0.027244590231453963,0.0015607392465004164,0.019372158095956486
578,0.001076204513873312,0.6971295595356503,0.2573281810945423,0.0343061044539963,0.007755777066529704,0.10850865742613193,0.2475046637196976,0.6013402023982132,0.10150678792728235,0.03139880651926602,0.003335063607962343,0.024718481429303638
579,0.0012545011899216497,0.6535170838105018,0.35098979345571857,0.04576377196228116,0.007043767704213647,0.10671077412141491,0.19945313414691038,0.6243745681122468,0.07209243395499959,0.02904624972968621,0.0016153158664410031,0.02280610783478913
580,0.0004425005624313858,0.6141892051453124,0.41010596257146636,0.03376684736948378,0.00720074933710338,0.09095362864804685,0.09736578493044855,0.6522471017523241,0.09533908224335455,0.029222064606503877,0.002853219269947901,0.01618401249730252
581,0.00068719129629553,0.611853098123475,0.1808914691804287,0.03281815394075306,0.007037922285965015,0.07976211810620956,0.11646895654699493,0.7503677557440259,0.0877466856665233,0.02815409016608709,0.0029541545844949143,0.01753237098289323
582,0.001026589905649,0.6420232536744637,0.18246388266875505,0.02812862717629305,0.006545158776326218,0.08798965047010673,0.1886072894908257,0.7082921735534362,0.0867051888461218,0.02861854239590349,0.0029621104941201116,0.018430529275298754
583,0.0006715987052282611,0.5473337138070676,0.2352115414299694,0.028977830370401702,0.00666741048956827,0.08320505210461894,0.21740111762172515,0.7637618439583248,0.07596311333741075,0.026091557436433502,0.0010736312998084743,0.015681800942525793
584,0.0007611359822206125,0.6729950541432952,0.21327478729865942,0.045468475530758765,0.006786905047625858,0.12263558175621574,0.17368492109801006,0.6688794690606902,0.07188076484786772,0.03166171537672464,9.454735521621949e-05,0.026504700542414897
585,0.00122471774840782,0.7283688970474035,0.35942762749402185,0.040419084752946075,0.009013993029864229,0.07060173329313445,0.2819841589048239,0.49212079040315154,0.10252049906844525,0.032849704872521465,0.0028956532412431884,0.017134537646786574
586,0.0007458394014224973,0.46468582392252206,0.33455986262778276,0.02495353489643132,0.004645339758307657,0.05279112324485377,0.157107736042648,0.8003745677363892,0.0528799272440038,0.019918468827757593,0.0010031095864923764,0.015124105609533726
587,0.0011049342414077463,0.62538979834956,0.13977190019032437,0.04061359408841804,0.006503096282961771,0.09474629202897367,0.12544558715174106,0.7466311041569091,0.06578095224019045,0.028238280618727973,0.0030598936741867803,0.018790499431500116
588,0.0007666246689705143,0.6112886778131149,0.19541753102420323,0.03888836371283595,0.005848639833542161,0.06274466984270481,0.14451571681817466,0.7471912838855476,0.05038559777179909,0.02661341237992745,0.0017883660177484436,0.014978673584072264
589,0.001255165669868868,0.5016659949506885,0.19765831151821223,0.024398924804305014,0.00465034741394018,0.05540101369410042,0.009150831110688833,0.8373571156537986,0.060345686413493096,0.021330868716224586,0.0018508433371253932,0.014964293501781224
590,0.0011402221978485977,0.6615032054023187,0.417448300825021,0.03495090479826823,0.007831814085297675,0.07602208577591153,0.07779772277806907,0.6077998455913701,0.06590815412671285,0.02942502809967536,0.0025387427810948243,0.019939018180020442
