,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
18,0.8973777996722351,0.2871686623133689,0.32539681134204784,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.28478203309779415,0.6033166779471917,0.2420094452419082,0.18352825762457847,0.0,0.7222468068013201,0.7084398956277518
19,0.6208855627108713,0.5186051239345932,0.7146165198748219,0.5051832485214696,0.4987233612188684,0.4934230237503199,0.7576719894094784,0.7857276990404274,0.3212057395849915,0.761531728069081,0.0,0.0,0.0
20,0.48827420746572947,0.5700354487393096,0.12261515915156689,0.5051832485214696,0.4987233612188684,0.4934230237503199,0.7576719894094784,0.7857276990404274,0.3212057395849915,0.761531728069081,1.0,0.2888987227205281,0.32879541536629814
21,0.22928232946423005,0.3643141495204434,0.27455006870324067,0.5051832485214696,0.4987233612188684,0.4934230237503199,0.35233774114232047,0.5019772217842804,0.5015972989220123,0.5046412967604132,1.0,0.2888987227205281,0.493858232871278
22,0.7214683830813438,0.26145349991101074,0.3750329172513596,0.5051832485214696,0.4987233612188684,0.4934230237503199,0.35233774114232047,0.5019772217842804,0.5015972989220123,0.5046412967604132,1.0,0.2888987227205281,0.543377078122772
23,0.42955677762293887,0.4498811631183717,0.6865274079656632,0.677947956402513,0.504438829789998,0.2621355146994182,0.41681099731009114,0.956173880270454,0.5537826783517499,0.59009948407996,1.0,0.2888987227205281,0.7084398956277518
24,0.4118552046598932,0.4224195562223434,0.5442314743224897,0.7357752060243845,0.5593915727750332,0.8022010706708091,0.6486261804924963,0.6749479707758783,0.9966204556502973,0.5246233916852081,1.0,0.36112340340066007,0.32879541536629814
25,0.32004756643856686,0.6668062623635489,0.42683054664610665,0.4365079404129359,0.5642094969069649,0.6217790264778256,0.4105866885936216,0.5313899826684225,0.5683086346843391,0.37041140918350085,1.0,0.36112340340066007,0.493858232871278
26,0.28157991790719133,0.6168893273186109,0.5047492418728595,0.663024987797787,0.8093809596440293,0.6922481495860004,0.1128613495860749,0.7377391033923275,0.5085791012866956,0.19426808048621214,1.0,0.36112340340066007,0.543377078122772
27,0.5749656162544747,0.3589332681607482,0.28804034349924235,0.4644646878612623,0.17121226281800128,0.6952341320794964,0.39489195191165993,0.44192602156771654,0.7405631820404335,0.6831026925202985,1.0,0.36112340340066007,0.7084398956277518
