,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
827,0.6445470140858266,0.35905367046315695,0.0415193273595083,0.007402087252643354,0.08626889351629524,0.35211060828490326,0.02448226602033976,0.5631221822769807,0.05970646780762172,0.028378829827313202,0.0025025314760998784,0.018822964657799243
828,0.5548077755409401,0.24569018239299015,0.04244460204841038,0.0069819779818789925,0.07051812713206955,0.25980897677305226,0.02228138198881223,0.7426730736727999,0.06730565440438788,0.026103879544651255,0.002207353142019636,0.014992436674436282
829,0.512680653547595,0.347574990770617,0.03663285943805831,0.006735086458589432,0.07975177461213605,0.08657739498096716,0.020723968187515884,0.7716813071897187,0.06592816729611284,0.0246062050582202,0.0014830264660052584,0.015203419081485642
830,0.5331151312915069,0.32525713879661616,0.03536812883979375,0.006240244790093679,0.08746678356444229,0.08919139587898753,0.020027619684134506,0.7677256151455526,0.04907094588728878,0.023886598017147223,0.0021129534641471225,0.01771847518781431
831,0.5540866518691857,0.35338373931430966,0.03355268416366657,0.008316801341881612,0.09188439276614016,0.1967296982879499,0.022763445321520404,0.7160294989645247,0.07489077458137675,0.02594594867598019,0.0029022340104877847,0.016155068070845845
832,0.6399735421573991,0.14802649025324982,0.039019731230173514,0.006754882605278716,0.05966249575847133,0.10855563400907409,0.023321607740754858,0.7356465002439809,0.09280868355336097,0.02879022334827197,0.0012752401563605547,0.02112559898912745
833,0.5513150304764187,0.26677047161280715,0.025994508751337436,0.006755275263786234,0.07832223052385734,0.1211908405149455,0.021696035484882543,0.7732939146031436,0.0623526760984778,0.025296434272091817,0.001672408489513001,0.01890909110737298
834,0.5436724501920424,0.17199176990918322,0.043478001237036476,0.007615631227470682,0.08394282695605786,0.22864579318019274,0.020399043252012403,0.7817567403227058,0.03278047763525655,0.024904557003650598,0.0015028889185512758,0.017569555046390874
835,0.6564037026273779,0.20663091274865414,0.04329144116509206,0.0079240394681225,0.081669891459611,0.09154382323476029,0.0241857094926608,0.7112567789573765,0.041986668945777766,0.029762066191199945,0.00387052498086228,0.017772646887212147
836,0.5529165328592073,0.3012034865647923,0.031129845149093564,0.0076751408002860245,0.07819252773863708,0.11562760046963173,0.02076200079768757,0.7587787777668435,0.07597366708136243,0.025776066076783746,0.002675777110106387,0.020691090366082122
