,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
288,0.0007177485261294447,0.5983731706578153,0.2698802559072234,0.024193691348738774,0.006907482744772893,0.07844212290535346,0.15721982246557215,0.023867362242945687,0.7240752521314475,0.111693154601493,0.0,0.001165140546790763,0.01667494040420435
289,0.0009655007096335225,0.7154183105071331,0.2750554265611976,0.052650000719909426,0.00895787343316149,0.13269882811950562,0.1275728070583342,0.029998781041748787,0.5996193623490605,0.12297304570721335,0.0,0.0032803189018550546,0.014412422799850035
290,0.0006290838156358995,0.6351472056338939,0.09679786044436996,0.03428979020770685,0.007142640487377292,0.06125329008504664,0.22804667828543504,0.02293637382659059,0.7254169010415307,0.055695688372526746,0.0,0.0014881634364665838,0.019332969218485586
291,0.0005103775731415783,0.5555126717703243,0.23702640788074206,0.03445922907008695,0.007718555359386641,0.08930090199922915,0.11287692398858791,0.01980643736295982,0.7809268186192564,0.052433884195375174,0.0,0.002680252986531931,0.016295409931862907
292,0.000631768174889048,0.5523851537715814,0.22526752451893428,0.0416107329774589,0.006055143294873828,0.08182229065796115,0.2855874051663705,0.023670104474911507,0.7391250633383285,0.08368436682667885,0.0,0.0019897633463715043,0.01511451459073035
293,0.0006945387521995951,0.5762802386141158,0.1771676569076329,0.02353080684044291,0.006085377366767479,0.08128745449765507,0.19811513741571163,0.021942288945834887,0.7665608412105309,0.04135093030729147,0.0,0.0023415640866830886,0.01587032586924439
294,0.001424701392856845,0.6804864343729781,0.04841570245788401,0.04042977279249824,0.008286779386535041,0.09758471956818751,0.1137664327089318,0.024631498327148085,0.7105799355498064,0.066678067474401,0.0,0.0027255488584290014,0.020960387785579553
295,0.0006627495654287672,0.6189508321362407,0.12448979268569417,0.03953468008583714,0.0068600465415510304,0.081704226862937,0.04315783254627249,0.020386738374900733,0.7643788905179185,0.08025972944373318,0.0,0.0010044167442065967,0.010961246196910107
296,0.0011213396133342055,0.6693975458315579,0.334422154248438,0.027292281968227465,0.007341492268554198,0.10879033040484037,0.11586116497167705,0.0269960507009373,0.6342724596406973,0.10206962534309522,0.0,0.0018167523627524527,0.02361631764494214
297,0.0007740153559937448,0.5367020493864265,0.2092311079142341,0.030471438396055525,0.005851927620238146,0.05696131622523895,0.06743971647985741,0.0204778886931668,0.8082744415526136,0.07392405536998965,0.0,0.0006696319525490664,0.01500209598728886
298,0.0006927670110427656,0.6183962618599459,0.1713054798920346,0.020552881014564026,0.004524473085477421,0.08773020377692056,0.19636234162372065,0.022211757286729198,0.7348355307649787,0.026811086426248035,0.0,0.0013506923915858726,0.0185765484247648
299,0.0009623324822216834,0.6227858230006622,0.22583533139780856,0.03706776924629966,0.00834683079835984,0.08304020512131553,0.05248815032079686,0.02316766371303584,0.7397839195507547,0.04549449962482855,0.0,0.0009910001745564367,0.012377606424677426
300,0.0009416704820632815,0.7053229914500302,0.23492972432930215,0.03934440679243561,0.007686289620728123,0.08063698939706324,0.1811431097856216,0.027498156213988607,0.633050413015143,0.06813542944685066,0.0,0.0031394140939096636,0.015592859226580706
301,0.0005611381237346237,0.5601902950255678,0.17504937243168822,0.037346474793820056,0.005419113972526134,0.08398511004015267,0.20196116663706942,0.02006327330840201,0.7752413953746102,0.0681603472646884,0.0,0.002083960861323893,0.015045474750743556
302,0.00103991197947481,0.5708103428557166,0.1870318354545192,0.037513475591264216,0.005943530429780559,0.06722714207896242,0.10133392444827549,0.021039604920390396,0.7878247235296355,0.03810327799995615,0.0,0.0036477099655016112,0.01967990740173359
303,0.0007998028076044312,0.5939412056872425,0.32181185886062746,0.029602019143411866,0.005389027901575197,0.08114966816707786,0.09490490373514263,0.022660856976239565,0.7233103780096244,0.05639432105069762,0.0,0.001551777968401556,0.017281684127165527
304,0.0008389041152836907,0.5057084727055219,0.30253230429982636,0.023089865619730934,0.00657742972686813,0.08811128567720664,0.10122561811452407,0.019891446086894873,0.7955086475700552,0.027376961734466413,0.0,0.0007757607561993058,0.012885456978183468
305,0.0008997194519025257,0.5854127055196493,0.20918925474478256,0.031516046147781064,0.006380404531256224,0.07103436906137467,0.0945959880842545,0.020111503267308997,0.7699169342902747,0.07124436601751527,0.0,0.002179436552687809,0.01567447735995857
306,0.0009520835450437872,0.5994803533602756,0.20290338841225106,0.032919545350063396,0.005972408541551719,0.09029919955420923,0.3134873054595418,0.020289872219943363,0.698125637622855,0.06230139568545732,0.0,0.0023195375065972043,0.015069280305071186
307,0.0007771973423999008,0.6772495936725781,0.2413088636043914,0.031573043061158754,0.008716971071888785,0.09905956615297334,0.17528496690308654,0.024589152744027197,0.6603158251142748,0.06694808119452583,0.0,0.0038824011522025723,0.019318963113603736
308,0.0007537425340397029,0.6805282465029874,0.010863600772924852,0.033834827273662174,0.008493367018421993,0.10773898098313113,0.17849226138455465,0.025762336460474097,0.6906616723705734,0.11815536601624929,0.0,0.0033328893286999135,0.02072605156012648
309,0.001405812683711348,0.5891125350094758,0.1376822298141863,0.025633169796028695,0.007962851927407873,0.08719960990081839,0.08033422175771811,0.02394666757418708,0.784404871951149,0.057187958301711826,0.0,0.002845099617968127,0.008198757634934543
310,0.001212822308423396,0.5372713055958155,0.3124585982104666,0.02782152336012359,0.005439334599529595,0.0698650822874288,0.220814136540333,0.021310435260127228,0.7448830340438226,0.05982314245687436,0.0,0.0020331709991386177,0.019397172285841785
311,0.00045528998255955845,0.5408520318551898,0.15410499761213078,0.04333583936481424,0.006173168581478882,0.08897458319178372,0.21718541784110526,0.019802014245576864,0.7907283828133482,0.027798218980676855,0.0,0.0022190250180725984,0.01752930957085109
312,0.0012226904994053645,0.6306470349234794,0.3060775229987812,0.025907496041665083,0.007082618121540178,0.11528691943256542,0.0322314222447113,0.023319033394128018,0.6987555892371748,0.06740701329408376,0.0,0.002071206098549558,0.014033030241727655
